         267209 function calls (225361 primitive calls) in 7.221 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      724    0.002    0.000    0.003    0.000 copy.py:234(_deepcopy_tuple)
   724/21    0.002    0.000    0.025    0.001 copy.py:253(_deepcopy_dict)
     3338    0.002    0.000    0.002    0.000 copy.py:267(_keep_alive)
   724/21    0.003    0.000    0.026    0.001 copy.py:306(_reconstruct)
      724    0.000    0.000    0.000    0.000 copy_reg.py:92(__newobj__)
        1    0.000    0.000    0.000    0.000 copy_reg.py:95(_slotnames)
        1    0.000    0.000    0.004    0.004 decimal.py:116(<module>)
        1    0.000    0.000    0.000    0.000 decimal.py:160(DecimalException)
        1    0.000    0.000    0.000    0.000 decimal.py:183(Clamped)
        1    0.000    0.000    0.000    0.000 decimal.py:195(InvalidOperation)
        1    0.000    0.000    0.000    0.000 decimal.py:224(ConversionSyntax)
        1    0.000    0.000    0.000    0.000 decimal.py:234(DivisionByZero)
        1    0.000    0.000    0.000    0.000 decimal.py:250(DivisionImpossible)
        1    0.000    0.000    0.000    0.000 decimal.py:261(DivisionUndefined)
        1    0.000    0.000    0.000    0.000 decimal.py:272(Inexact)
        1    0.000    0.000    0.000    0.000 decimal.py:284(InvalidContext)
        1    0.000    0.000    0.000    0.000 decimal.py:298(Rounded)
        1    0.000    0.000    0.000    0.000 decimal.py:310(Subnormal)
        1    0.000    0.000    0.000    0.000 decimal.py:321(Overflow)
        1    0.000    0.000    0.000    0.000 decimal.py:359(Underflow)
        1    0.000    0.000    0.000    0.000 decimal.py:3748(_ContextManager)
        1    0.000    0.000    0.000    0.000 decimal.py:3763(Context)
        3    0.000    0.000    0.000    0.000 decimal.py:3782(__init__)
       27    0.000    0.000    0.000    0.000 decimal.py:3809(<genexpr>)
       27    0.000    0.000    0.000    0.000 decimal.py:3816(<genexpr>)
        1    0.000    0.000    0.000    0.000 decimal.py:505(Decimal)
        6    0.000    0.000    0.000    0.000 decimal.py:514(__new__)
        1    0.000    0.000    0.000    0.000 decimal.py:5438(_WorkRep)
        1    0.000    0.000    0.000    0.000 decimal.py:5692(_Log10Memoize)
        1    0.000    0.000    0.000    0.000 decimal.py:5696(__init__)
        1    0.001    0.001    0.001    0.001 dis.py:1(<module>)
       32    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
       32    0.000    0.000    0.000    0.000 functools.py:39(wraps)
        1    0.001    0.001    0.024    0.024 graph.py:1(<module>)
      200    0.002    0.000    0.002    0.000 graph.py:13(ctx)
      100    0.001    0.000    0.004    0.000 graph.py:16(background)
      100    0.000    0.000    6.542    0.065 graph.py:23(save)
     6300    0.006    0.000    0.142    0.000 graph.py:27(line)
 6400/100    0.022    0.000    0.283    0.003 graph.py:53(draw_tree_nodes)
 6400/100    0.012    0.000    0.154    0.002 graph.py:67(draw_connections)
        1    0.000    0.000    0.000    0.000 graph.py:7(Canvas)
      100    0.016    0.000    0.020    0.000 graph.py:8(__init__)
      100    0.000    0.000    0.492    0.005 graph.py:87(draw)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
        1    0.001    0.001    0.015    0.015 inspect.py:25(<module>)
        1    0.000    0.000    0.000    0.000 inspect.py:629(EndOfBlock)
        1    0.000    0.000    0.000    0.000 inspect.py:631(BlockFinder)
        1    0.003    0.003    0.003    0.003 io.py:34(<module>)
        1    0.000    0.000    0.000    0.000 io.py:69(IOBase)
        1    0.000    0.000    0.000    0.000 io.py:73(RawIOBase)
        1    0.000    0.000    0.000    0.000 io.py:76(BufferedIOBase)
        1    0.000    0.000    0.000    0.000 io.py:79(TextIOBase)
        1    0.002    0.002    0.071    0.071 iterators.py:33(<module>)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
      800    0.001    0.000    0.001    0.000 layoutTree.py:129(move_subtree)
     2800    0.005    0.000    0.005    0.000 layoutTree.py:138(execute_shifts)
      800    0.000    0.000    0.000    0.000 layoutTree.py:147(ancestor)
        1    0.000    0.000    0.000    0.000 layoutTree.py:2(<module>)
        1    0.000    0.000    0.000    0.000 layoutTree.py:2(LayoutTree)
    10600    0.003    0.000    0.004    0.000 layoutTree.py:23(left)
    14900    0.005    0.000    0.006    0.000 layoutTree.py:26(right)
    11300    0.005    0.000    0.005    0.000 layoutTree.py:29(left_brother)
 6400/100    0.025    0.000    0.025    0.000 layoutTree.py:3(__init__)
     7100    0.003    0.000    0.003    0.000 layoutTree.py:39(get_leftmost_sibling)
      100    0.000    0.000    0.055    0.001 layoutTree.py:54(buchheim)
 6400/100    0.012    0.000    0.051    0.001 layoutTree.py:60(first_walk)
